id,latitude,longitude,class
1,33613.1588,-86118.3061,depot
2,34022.3194,-86045.5285,customer
3,32480.9714,-85562.1727,customer
4,31759.0481,-85889.1149,customer
5,31511.8345,-85545.2156,customer
6,30929.9052,-88027.2209,customer
7,32299.5852,-86196.3537,customer
8,34952.8584,-85708.3041,customer
9,30603.8033,-87852.4923,customer
10,33753.9955,-87157.2232,customer
11,32711.2439,-85182.1624,customer
12,31264.0579,-86223.283,customer
13,34200.6503,-86166.3655,customer
14,33752.0454,-86703.8799,customer
15,34670.3683,-87244.1854,customer
16,31427.6721,-85200.7652,customer
17,32946.2361,-85401.8929,customer
18,34870.6418,-87144.4583,customer
19,33836.4933,-87055.2789,customer
20,32549.8569,-85869.9585,customer
21,34705.6458,-87753.0869,customer
22,34666.1946,-85790.5282,customer
23,34757.0342,-87972.8143,customer
24,32156.5383,-85643.5592,customer
25,31407.1125,-85894.1078,customer
26,30382.9771,-88238.3363,customer
27,33831.2152,-87028.3338,customer
28,33708.4442,-87469.4504,customer
29,33035.3989,-85822.7391,customer
30,32428.1952,-88376.4211,customer
31,32327.6432,-85669.6732,customer
32,33131.7869,-85473.0072,customer
33,32438.4696,-86449.6961,customer
34,31845.1569,-85896.0607,customer
35,33940.9314,-86457.2078,customer
36,33922.8835,-87617.2389,customer
37,32690.4114,-88126.1339,customer
38,32056.5386,-87874.1765,customer
39,34581.4814,-86972.508,customer
40,33579.2812,-88141.6964,customer
41,34918.1431,-86681.3861,customer
42,34873.6901,-85590.2443,customer
43,31984.5929,-86578.5856,customer
44,34563.4272,-87842.2568,customer
45,33618.4371,-86801.6582,customer
46,32207.3646,-87437.4979,customer
47,34872.5886,-86643.0512,customer
48,32573.4666,-86013.2956,customer
49,34354.2597,-86436.6533,customer
50,34701.7558,-86375.8201,customer
51,31643.7745,-85808.277,customer
52,33343.9995,-86438.0357,customer
53,31351.284,-85342.1559,customer
54,32239.3069,-86748.5917,customer
55,34537.0358,-86534.7122,customer
56,32222.3733,-85005.2077,customer
57,33774.2717,-87058.8886,customer
58,30622.6917,-87911.9384,customer
59,31504.8862,-88247.2334,customer
60,32937.0672,-86109.1353,customer
61,30815.4643,-88158.0583,customer
62,33370.9509,-87992.2442,customer
63,31409.8926,-85467.4358,customer
64,31257.1162,-87708.6035,customer
65,31985.9821,-86490.5275,customer
66,31840.7077,-87545.2737,customer
67,34520.0868,-86000.2548,customer
68,31492.9456,-85695.7718,customer
69,31166.8422,-87526.3747,customer
70,31379.8894,-87428.3194,customer
71,31634.0496,-88313.3487,customer
72,32550.9698,-88106.9665,customer
73,32060.9803,-86365.2461,customer
74,32060.1458,-86701.3673,customer
75,31987.9272,-88336.6906,customer
76,33545.3906,-87801.4047,customer
77,32546.2457,-87677.5082,customer
78,33783.4324,-86002.4703,customer
79,30247.7031,-87839.7131,customer
80,33733.4434,-87570.0096,customer
81,34133.1544,-86817.2223,customer
82,31057.4012,-88111.6689,customer
83,31304.3416,-85229.6543,customer
84,34414.5339,-86136.9231,customer
85,33672.0505,-87066.6648,customer
86,31122.9561,-85452.7113,customer
87,31352.9468,-86539.1273,customer
88,34455.0956,-87784.7551,customer
89,34215.6501,-85683.8534,customer
90,33698.7135,-85839.6879,customer
91,32287.6393,-86985.8206,customer
92,32395.1369,-87008.3225,customer
93,33733.1575,-85798.0205,customer
94,30545.4715,-87751.6559,customer
95,30861.0187,-88208.6155,customer
96,31144.8974,-85985.4949,customer
97,31001.0159,-85403.8219,customer
98,30745.4663,-88076.6667,customer
99,34422.3175,-86931.395,customer
100,31776.5447,-86128.5674,customer
101,34898.1432,-86733.6098,customer
102,31520.4477,-85191.3208,customer
103,34984.805,-87506.6904,customer
104,34482.0394,-87653.9185,customer
105,34918.1425,-88064.203,customer
106,33824.8219,-85909.9683,customer
107,34286.7649,-87875.8658,customer
108,34627.8654,-86274.4286,customer
109,31132.6787,-85375.4887,customer
110,33854.273,-87974.1935,customer
111,34645.0918,-87791.6994,customer
112,31496.5526,-87096.3673,customer
113,31089.0674,-87522.2064,customer
114,30285.4794,-87743.043,customer
115,34052.8747,-86363.0383,customer
116,31513.7755,-85975.2232,customer
117,33127.9013,-88120.0262,customer
118,34555.6494,-87763.0883,customer
119,34672.3126,-87329.7432,customer
120,34255.6486,-85469.4032,customer
121,32532.9117,-86384.973,customer
122,32518.1899,-86374.6948,customer
123,32900.1246,-85882.4619,customer
124,32512.6359,-87793.9007,customer
125,34815.643,-87154.1813,customer
126,34254.2644,-87789.4743,customer
127,32664.5774,-85427.17,customer
128,33033.1772,-87199.9972,customer
129,32445.1435,-85024.377,customer
130,34863.9683,-85613.023,customer
131,31855.7105,-86026.3423,customer
132,33457.8901,-85381.8954,customer
133,33280.6726,-85407.4504,customer
134,33662.6021,-86595.2647,customer
135,33863.9876,-85984.6926,customer
136,33846.4895,-85809.6883,customer
137,34948.1411,-87868.9198,customer
138,32312.3619,-86398.5822,customer
139,32378.4718,-86194.4101,customer
140,32364.5829,-86332.4698,customer
141,30721.8558,-88139.4462,customer
142,30700.1897,-88200.8369,customer
143,30755.7438,-88159.7248,customer
144,30978.5153,-88129.1688,customer
145,33568.1614,-86937.7717,customer
146,33580.1041,-86186.9192,customer
147,33596.7704,-86101.0833,customer
148,33513.9949,-86057.7482,customer
149,32446.8025,-87382.7765,customer
150,33407.0529,-86711.0981,customer
151,34777.3126,-86640.2726,customer
152,34815.0899,-86576.9373,customer
153,32361.8052,-86362.7484,customer
154,33163.4525,-87427.5029,customer
155,33316.7832,-87601.3967,customer
156,34748.6937,-85899.977,customer
157,34763.9774,-87173.6267,customer
158,34413.9796,-86338.0395,customer
159,34149.8174,-86094.9747,customer
160,33773.7119,-85840.2441,customer
161,32441.8028,-87495.2792,customer
162,34263.9821,-85860.5251,customer
163,34581.7507,-85626.6327,customer
164,34847.8575,-85623.3012,customer
165,34560.0842,-85580.7976,customer
166,33205.3951,-85691.6251,customer
167,34833.4158,-85872.7543,customer
168,34143.9848,-86378.8725,customer
169,32959.8451,-86746.6522,customer
170,34390.9232,-85978.3077,customer
171,32306.2535,-87798.0665,customer
172,34903.4209,-86714.1648,customer
173,34116.4858,-85459.68,customer
174,32382.9163,-86174.1318,customer
175,31385.7239,-85929.3861,customer
176,32437.6381,-87773.622,customer
177,32279.5864,-88120.021,customer
178,31872.651,-86991.0942,customer
179,34272.5971,-86812.2232,customer
180,33151.2313,-85372.1708,customer
181,31730.4339,-86309.6846,customer
182,31909.5967,-86162.4595,customer
183,32590.9656,-86432.1969,customer
184,33121.5065,-86443.3121,customer
185,33818.1563,-86742.7712,customer
186,34376.4873,-88058.6497,customer
187,32105.7038,-87800.842,customer
188,33078.7308,-86881.6562,customer
189,33876.7686,-86881.9424,customer
190,33277.8916,-86945.2693,customer
191,34660.644,-86328.8745,customer
192,31781.2748,-85302.1583,customer
193,32681.2413,-86017.7412,customer
194,32496.8025,-87716.1204,customer
195,33854.2745,-87567.5129,customer
196,33324.0049,-85359.116,customer
197,32165.4202,-86911.9285,customer
198,30545.1936,-87902.7708,customer
199,32106.2629,-85579.1128,customer
200,31294.6148,-86872.1898,customer
201,32925.957,-85938.8526,customer
202,33360.9433,-86481.6481,customer
203,34427.8704,-86541.9347,customer
204,33681.7681,-86530.5409,customer
205,31191.0087,-85593.8228,customer
206,33195.3973,-85293.8353,customer
207,33212.0659,-88100.0261,customer
208,33275.6711,-85669.4025,customer
209,31210.7291,-87738.3262,customer
210,34108.7082,-85580.239,customer
211,31510.1634,-86573.299,customer
212,31803.4934,-85760.5012,customer
213,32946.5131,-85638.2887,customer
214,34078.4296,-86064.9737,customer
215,32994.5679,-85433.0053,customer
216,33089.0102,-85450.784,customer
217,33095.6752,-87035.8266,customer
218,34240.6492,-85587.1841,customer
219,32333.7525,-85893.2894,customer
220,31467.3927,-85290.4894,customer
221,32932.6257,-85301.8897,customer
222,33180.951,-87209.9975,customer
223,31600.1664,-85561.0504,customer
224,32136.255,-87235.2685,customer
225,31374.6114,-86319.1211,customer
226,32774.5721,-86721.3729,customer
227,32867.9028,-86023.2988,customer
228,31891.5398,-86657.4756,customer
229,34766.7564,-86877.7815,customer
230,31046.0141,-85438.8221,customer
231,34437.0407,-87867.5346,customer
232,34298.4252,-85588.2956,customer
233,32194.5898,-87912.2352,customer
234,33434.5574,-85368.5615,customer
235,30996.0141,-85692.4329,customer
236,34619.5294,-85949.4211,customer
237,34384.5343,-85846.3593,customer
238,32252.3649,-88100.8534,customer
239,34822.8671,-86713.6087,customer
240,32980.678,-86769.1529,customer
241,33160.9499,-86554.9818,customer
242,34794.8056,-86008.5914,customer
243,33501.2164,-86447.4816,customer
244,34207.5946,-85830.2462,customer
245,31782.9414,-85397.994,customer
246,33230.6766,-88093.9149,customer
247,32888.735,-86335.2522,customer
248,33044.0089,-86451.923,customer
249,32265.4206,-86003.8464,customer
250,31808.4895,-87965.5621,customer
251,31593.2164,-86402.4623,customer
252,32558.7441,-86807.2073,customer
253,34733.4236,-86456.933,customer
254,32709.5763,-85372.4463,customer
255,34645.6485,-88050.5947,customer
256,31799.0425,-87622.2194,customer
257,32924.017,-88135.025,customer
258,34043.1524,-86111.6415,customer
259,31762.1087,-85374.3821,customer
260,33302.6169,-85310.2254,customer
261,32686.2412,-87025.8253,customer
262,33143.1756,-85454.1178,customer
263,34297.8762,-87924.2006,customer
264,31742.6552,-87177.2079,customer
265,31117.3996,-87529.4294,customer
266,32965.6806,-87655.8414,customer
267,34990.3611,-87609.4697,customer
268,33317.6119,-86157.1945,customer
269,30450.752,-87811.9346,customer
270,31420.1657,-87842.497,customer
271,31892.6527,-87711.6689,customer
272,33736.4952,-87127.5002,customer
273,31699.3323,-85211.8777,customer
274,34850.0868,-87085.0116,customer
275,34278.9829,-86365.8169,customer
276,31993.4839,-88100.0147,customer
277,33074.564,-86749.4305,customer
278,33111.785,-86686.0959,customer
279,34249.2619,-86494.9887,customer
280,33374.558,-85548.0106,customer
281,33225.9519,-85360.5042,customer
282,32693.7444,-85196.0517,customer
283,32759.5748,-85367.4463,customer
284,34299.8167,-86511.9337,customer
285,33528.717,-86891.9366,customer
286,34322.3133,-85588.2958,customer
287,32681.7963,-86300.5276,customer
288,33195.6749,-85343.2812,customer
289,33443.4448,-85579.9563,customer
290,34513.7051,-87106.1247,customer
291,34744.8032,-85673.5812,customer
292,32527.3592,-88073.6319,customer
293,31837.3764,-88252.793,customer
294,33990.9316,-86577.4905,customer
295,31486.2748,-87253.0383,customer
296,31586.5569,-85275.7676,customer
297,32338.2012,-85223.2723,customer
298,33611.7782,-87858.3521,customer
299,32828.1819,-85961.9077,customer
300,34078.993,-87212.2325,customer
301,33614.8273,-85792.7415,customer
302,33370.1115,-85867.7421,customer
303,33545.386,-85648.8479,customer
304,34414.5408,-87087.512,customer
305,32995.1227,-87232.2201,customer
306,33879.5516,-87334.4522,customer
307,33032.0663,-87273.3322,customer
308,33801.4909,-85683.5735,customer
309,33667.8826,-85664.1274,customer
310,32759.2953,-87241.3869,customer
311,32632.3536,-87319.1655,customer
312,32997.6242,-87630.0075,customer
313,34175.6572,-87109.1763,customer
314,31054.9013,-86809.6824,customer
315,32656.7975,-86924.4334,customer
316,32899.5691,-86910.823,customer
317,34415.93,-87167.515,customer
318,33435.9416,-86105.8048,customer
319,34015.1039,-87129.4513,customer
320,34361.4872,-87333.0747,customer
321,33604.8269,-85868.0212,customer
322,33458.1632,-86088.86,customer
323,32807.0717,-87109.7169,customer
324,33591.7715,-85897.1885,customer
325,30590.4709,-88233.3373,customer
